Date,AdjClose,Fluctuation
8/23/17,2444.040039,-8.469971
8/24/17,2438.969971,-5.070068
8/25/17,2443.050049,4.080078
8/28/17,2444.23999,1.189941
8/29/17,2446.300049,2.060059
8/30/17,2457.590088,11.290039
8/31/17,2471.649902,14.059814
9/1/17,2476.550049,4.900147
9/5/17,2457.850098,-18.699951
9/6/17,2465.540039,7.689941
9/7/17,2465.100098,-0.439941
9/8/17,2461.429932,-3.670166
9/11/17,2488.110107,26.680175
9/12/17,2496.47998,8.369873
9/13/17,2498.370117,1.890137
9/14/17,2495.620117,-2.75
9/15/17,2500.22998,4.609863
9/18/17,2503.870117,3.640137
9/19/17,2506.649902,2.779785
9/20/17,2508.23999,1.590088
9/21/17,2500.600098,-7.639892
9/22/17,2502.219971,1.619873
9/25/17,2496.659912,-5.560059
9/26/17,2496.840088,0.180176
9/27/17,2507.040039,10.199951
9/28/17,2510.060059,3.02002
9/29/17,2519.360107,9.300048
10/2/17,2529.120117,9.76001
10/3/17,2534.580078,5.459961
10/4/17,2537.73999,3.159912
10/5/17,2552.070068,14.330078
10/6/17,2549.330078,-2.73999
10/9/17,2544.72998,-4.600098
10/10/17,2550.639893,5.909913
10/11/17,2555.23999,4.600097
10/12/17,2550.929932,-4.310058
10/13/17,2553.169922,2.23999
10/16/17,2557.639893,4.469971
10/17/17,2559.360107,1.720214
10/18/17,2561.26001,1.899903
10/19/17,2562.100098,0.840088
10/20/17,2575.209961,13.109863
10/23/17,2564.97998,-10.229981
10/24/17,2569.129883,4.149903
10/25/17,2557.149902,-11.979981
10/26/17,2560.399902,3.25
10/27/17,2581.070068,20.670166
10/30/17,2572.830078,-8.23999
10/31/17,2575.26001,2.429932
11/1/17,2579.360107,4.100097
11/2/17,2579.850098,0.489991
11/3/17,2587.840088,7.98999
11/6/17,2591.129883,3.289795
11/7/17,2590.639893,-0.48999
11/8/17,2594.379883,3.73999
11/9/17,2584.620117,-9.759766
11/10/17,2582.300049,-2.320068
11/13/17,2584.840088,2.540039
11/14/17,2578.870117,-5.969971
11/15/17,2564.620117,-14.25
